"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-08","NV","A+",3394,,55,,,,1874,0,,399,984742,4666,,,,,263,243661,243661,2866,0,,,,,,,2198483,18452,2198483,18452,,,,,1228403,7532,,0
"2021-01-08","NY","B",31329,,165,,89995,89995,8561,0,,1475,25721991,225071,,,,,912,1094144,,18832,0,,,,,,108144,26816135,243903,26816135,243903,,,,,,0,,0
"2021-01-08","OH","A+",9544,8589,82,955,40787,40787,4066,318,6126,1004,7354827,62092,,,,,645,762603,678441,9535,0,,52229,,,704378,621185,,0,8033268,69947,,942258,,,,0,8033268,69947
"2021-01-08","OK","A+",2703,,31,,18418,18418,1961,225,,477,2477328,14387,,,2477328,,,320586,,5232,0,9516,,,,313050,280430,,0,2797914,19619,109422,,,,,0,2799072,19327
"2021-01-08","OR","A+",1568,,10,,6845,6845,530,108,,118,2641246,19618,,,2597543,,53,121085,74629,862,0,,,,,164788,5870,,0,2762331,21215,,,,,,0,2762331,21215
"2021-01-08","PA","A+",17394,,215,,,,5318,0,,1092,3352377,14661,,,,,600,703265,624688,10178,0,,,,,,513383,,0,4055642,24839,,,,,3977065,22830,7831153,69909
"2021-01-08","PR","B",1592,1323,4,269,,,414,0,,79,305972,0,,,303412,,78,82067,76726,2169,0,57768,,,,7002,72747,,0,388039,2169,,,,,,0,310546,0
"2021-01-08","RI","A+",1916,,6,,7027,7027,390,71,,55,567656,2557,,,1999083,,39,97614,,1023,0,,,,,116884,5860,2115967,16222,2115967,16222,,,,,665270,3580,,0
"2021-01-08","SC","A+",5695,5217,34,478,15335,15335,2396,133,,488,3053938,35196,91357,,2964302,,251,344176,315353,6064,0,17490,57927,,,404989,164575,,0,3398114,41260,108847,468863,,,,0,3369291,40303
"2021-01-08","SD","A+",1556,,12,,5851,5851,247,22,,59,279212,1110,,,,,37,102580,92489,448,0,,,,,,95783,,0,381792,1558,,,,,381792,1558,797245,9656
"2021-01-08","TN","A+",7618,6491,126,1127,15178,15178,3482,110,,811,5234920,28338,,,5149497,,474,640606,554782,6369,0,,93026,,,640205,559625,,0,5875526,34707,,701348,,,,0,5789702,33593
"2021-01-08","TX","A",29310,,372,,,,13921,0,,3521,12848472,69050,,,,,,1915261,1684271,23520,0,99392,114910,,,1866444,1536690,,0,14532743,86834,831020,1297609,,,,0,14532743,86834
"2021-01-08","UT","A+",1381,,22,,11679,11679,610,101,1889,196,1339182,6083,,,2060289,657,,301110,266959,3793,0,,37782,,36256,289077,244990,,0,2349366,16979,,489562,,197084,1606141,9054,2349366,16979
"2021-01-08","VA","A+",5312,4681,37,631,18918,18918,2991,128,,547,4178830,32185,,,,,351,387917,321172,5238,0,18259,68458,,,398661,32595,4500002,36234,4500002,36234,191817,761716,,,,0,,0
"2021-01-08","VI","D",24,24,0,,,,,0,,,35326,390,,,,,,2143,,37,0,,,,,,1984,,0,37469,427,,,,,37556,441,,0
"2021-01-08","VT","B",156,,1,,,,35,0,,8,266624,3233,,,,,,8619,8391,216,0,,,,,,5778,,0,743851,12224,,,,,275015,3447,743851,12224
"2021-01-08","WA","A",3634,,29,,15568,15568,1197,153,,242,3733737,14454,,,,,104,264012,253401,3260,0,,,,,,,3987138,17549,3987138,17549,,,,,,0,,0
"2021-01-08","WI","A+",5529,5119,52,410,22206,22206,1077,136,2080,244,2390538,7128,,,,,,544618,502012,4110,0,,,,,,467069,5558502,40683,5558502,40683,,,,,2892550,10602,,0
"2021-01-08","WV","B",1554,1346,36,208,,,787,0,,208,1532079,21564,,,,,102,97898,78838,1896,0,,,,,,68155,,0,1629977,23460,26719,,,,,0,1610917,23169
"2021-01-08","WY","B",489,,0,,1196,1196,108,12,,,161691,424,,,487724,,,46647,39882,479,0,,,,,40391,44279,,0,528137,5449,,,,,201573,830,528137,5449
"2021-01-07","AK","A",223,,3,,1084,1084,89,10,,,1278882,15201,,,1267982,,8,47660,,326,0,,,,,57120,7165,,0,1326542,15527,,,,,,0,1326542,15527
"2021-01-07","AL","A",5080,4408,86,672,36411,36411,3015,352,2449,,1620448,7507,,,,1404,,389230,311583,5046,0,,,,,,211684,,0,1932031,10821,,,90442,,1932031,10821,,0
"2021-01-07","AR","A+",3926,3273,25,653,11900,11900,1326,33,,427,1928699,9261,,,1928699,1277,218,245916,200531,3323,0,,,,53589,,215980,,0,2129230,11538,,,,274823,,0,2129230,11538
"2021-01-07","AS","D",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-01-07","AZ","A+",9741,8753,297,988,42112,42112,4920,1049,,1101,2435839,6941,,,,,776,584593,553973,9913,0,,,,,,82155,,0,5416054,41550,394583,,,,2989812,15778,5416054,41550
"2021-01-07","CA","B",28045,,583,,,,22851,0,,4811,32241744,175349,,,,,,2518611,2518611,36385,0,,,,,,,,0,34760355,211734,,,,,,0,34760355,211734
"2021-01-07","CO","A",5102,4436,52,666,19734,19734,954,31,,,1870232,19343,260831,,,,,352923,337456,3473,0,33998,,,,,18775,4649434,51679,4649434,51679,294829,,,,2207688,12377,,0
"2021-01-07","CT","B",6287,5096,57,1191,12257,12257,1087,0,,,4378938,49615,,,,,,202758,190767,3304,0,,,,,,9800,,0,4581696,52919,,160761,,,,0,4569705,52633
"2021-01-07","DC","A+",808,,2,,,,278,0,,63,906285,4665,,,,,36,30750,,268,0,,,,,,21660,937035,4933,937035,4933,,,,,366027,1272,,0
"2021-01-07","DE","A+",949,846,2,103,,,453,0,,57,463976,1779,,,,,,62949,60274,1220,0,,,,,64153,18851,1029436,9107,1029436,9107,,,,,526925,2999,,0
"2021-01-07","FL","A",22817,,170,,65622,65622,7327,390,,,7634493,42130,578113,560932,12832829,,,1404374,1187619,19334,0,71851,,69600,,1824592,,16451278,140840,16451278,140840,650372,,630838,,9038867,61464,14722693,123722
"2021-01-07","GA","A+",11230,10100,65,1130,43796,43796,5751,167,7642,,4959745,39320,,,,,,609868,609868,7072,0,48102,,,113762,581928,,,0,5569613,46392,410091,,,,,0,5569613,46392
"2021-01-07","GU","B",124,,1,,,,12,0,,2,90884,431,,,,,1,7386,7200,8,0,17,243,,,,7145,,0,98270,439,331,6135,,,,0,98084,439
"2021-01-07","HI","B",299,,0,,1852,1852,121,9,,24,,0,,,,,24,23113,22631,321,0,,,,,22369,11958,849892,13546,849892,13546,,,,,,0,,0
"2021-01-07","IA","A+",4065,,5,,,,613,0,,119,941775,2136,,79007,1996135,,52,247133,247133,1294,0,,47470,9677,44620,267595,251659,,0,1188908,3430,,913003,88724,190342,1191162,3433,2275201,10707
"2021-01-07","ID","A",1488,1313,17,175,5871,5871,366,47,1043,77,433902,1337,,,,,,146106,120394,1263,0,,,,,,63097,,0,554296,2270,,52274,,,554296,2270,876370,4482
"2021-01-07","IL","A",18941,17272,206,1669,,,3921,0,,783,12795901,96761,,,,,450,1008045,,8757,0,,,,,,,,0,13803946,105518,,,,,,0,13803946,105518
"2021-01-07","IN","A+",8823,8452,80,371,36517,36517,2812,203,6377,593,2164139,8783,,,,,306,546499,,7270,0,,,,,620799,360087,,0,5950922,56417,,,,,2710638,16053,5950922,56417
"2021-01-07","KS","A+",3027,,0,,7113,7113,838,0,1928,206,800701,0,,,,413,70,236818,,0,0,,,,,,4745,,0,1037519,0,,,,,1037519,0,,0
"2021-01-07","KY","A+",2843,2643,37,200,14251,14251,1744,212,3174,424,3034584,17020,,,,,217,291430,233472,4889,0,7187,20065,,,194320,38173,,0,3268056,20684,103031,193957,,,,0,3268056,20684
"2021-01-07","LA","A",7728,7319,47,409,,,2033,0,,,4031395,29927,,,,,219,338054,303889,4530,0,,,,,,280373,,0,4369449,34457,,239754,,,,0,4335284,33849
"2021-01-07","MA","A+",12909,12634,73,275,16603,16603,2386,505,,455,3743466,18088,,,,,277,411601,393188,7548,0,,,13123,,474982,293522,,0,11417197,108412,,,141687,387433,4136654,25224,11417197,108412
"2021-01-07","MD","A",6173,6004,41,169,27900,27900,1834,189,,427,2595614,9368,,154692,,,,295874,295874,2970,0,,,19059,,359707,9404,,0,5972432,39652,,,173751,,2891488,12338,5972432,39652
"2021-01-07","ME","A+",385,379,13,6,1135,1135,202,11,,55,1134579,10613,13169,,1128954,,25,27625,23193,535,0,568,4702,,,28116,11658,,0,1162204,11148,13749,99882,,,,0,1157772,11012
"2021-01-07","MI","A+",13873,13094,206,779,,,2578,0,,509,7854280,40848,,,7854280,,300,555747,512751,4249,0,,,,,647042,363611,,0,8410027,45097,445336,,,,,0,8501322,45058
"2021-01-07","MN","A",5572,5381,44,191,22541,22541,787,104,4733,135,2628238,8211,,,,,,429570,413653,1983,0,,,,,,408510,5553851,34673,5553851,34673,,249978,,,3041891,9908,,0
"2021-01-07","MO","A+",5882,,24,,,,2784,0,,636,1673741,3708,102764,91475,3283467,,355,412426,412426,3983,0,14204,50217,10549,,456311,,,0,3747390,22787,117184,412706,108619,186902,2086167,7691,3747390,22787
"2021-01-07","MP","D",2,2,0,,4,4,,0,,,17429,0,,,,,,125,125,1,0,,,,,,29,,0,17554,1,,,,,17542,0,26131,0
"2021-01-07","MS","A+",5061,3938,48,1123,8260,8260,1495,0,,358,1183578,0,,,,,222,231490,154334,3255,0,95,,,,,182103,,0,1415068,3255,64321,486742,,,,0,1335473,0
"2021-01-07","MT","A",1038,,23,,3782,3782,208,44,,40,738529,5447,,,,,21,84750,84750,690,0,,,,,,78796,,0,823279,6137,,,,,,0,823279,6137
"2021-01-07","NC","A+",7213,6727,137,486,,,3960,0,,826,6721896,61026,,,,,,592746,539544,10398,0,,,,,,487090,,0,7314642,71424,,295778,,,,0,7261440,69740
"2021-01-07","ND","B",1348,,7,,3623,3623,83,13,533,12,287423,389,11953,,,,,94156,90741,324,0,1442,,,,,90726,1268083,5410,1268083,5410,13395,52045,,,381579,713,1340080,6183
"2021-01-07","NE","A",1703,,11,,5386,5386,506,28,,,688293,1952,,,1613363,,,172469,172469,1436,0,,,,,198164,116295,,0,1813522,17840,,,,,861182,3393,1813522,17840
"2021-01-07","NH","B",827,,11,,922,922,314,3,305,,494720,1926,,,,,,49261,36037,423,0,,,,,,41804,,0,1075687,7576,36145,46416,34985,,530757,2107,1075687,7576
"2021-01-07","NJ","A",19646,17587,123,2059,49515,49515,3711,191,,654,7556256,0,,,,,430,564806,510839,7539,0,,,,,,58335,,0,8121062,7539,,,,,,0,8060903,0
"2021-01-07","NM","A",2680,,39,,10366,10366,722,88,,,1896517,13923,,,,,,151819,,1835,0,,,,,,74235,,0,2048336,15758,,,,,,0,2048336,15758
"2021-01-07","NV","A+",3339,,44,,,,1918,0,,411,980076,3535,,,,,280,240795,240795,3402,0,,,,,,,2180031,17902,2180031,17902,,,,,1220871,6937,,0
"2021-01-07","NY","B",31164,,199,,89995,89995,8548,0,,1424,25496920,220914,,,,,859,1075312,,17636,0,,,,,,107243,26572232,238550,26572232,238550,,,,,,0,,0
"2021-01-07","OH","A+",9462,8522,94,940,40469,40469,4180,365,6092,997,7292735,46307,,,,,636,753068,670586,10251,0,,50979,,,695616,613418,,0,7963321,54676,,928085,,,,0,7963321,54676
"2021-01-07","OK","A+",2672,,39,,18193,18193,1987,307,,489,2462941,15591,,,2462941,,,315354,,3781,0,8943,,,,309980,277828,,0,2778295,19372,107663,,,,,0,2779745,20623
"2021-01-07","OR","A+",1558,,8,,6737,6737,530,102,,118,2621628,17307,,,2578086,,53,120223,74629,735,0,,,,,163030,5870,,0,2741116,18339,,,,,,0,2741116,18339
"2021-01-07","PA","A+",17179,,265,,,,5491,0,,1113,3337716,10760,,,,,625,693087,616519,9698,0,,,,,,499022,,0,4030803,20458,,,,,3954235,17374,7761244,51702
"2021-01-07","PR","B",1588,1319,18,269,,,411,0,,72,305972,0,,,303412,,74,79898,74967,286,0,57481,,,,7002,70374,,0,385870,286,,,,,,0,310546,0
"2021-01-07","RI","A+",1910,,20,,6956,6956,397,51,,59,565099,2465,,,1984030,,40,96591,,1128,0,,,,,115715,5794,2099745,19820,2099745,19820,,,,,661690,3593,,0
"2021-01-07","SC","A+",5661,5189,79,472,15202,15202,2425,187,,476,3018742,25101,90700,,2930137,,245,338112,310246,4877,0,17263,55426,,,398851,159700,,0,3356854,29978,107963,457586,,,,0,3328988,29143
"2021-01-07","SD","A+",1544,,25,,5829,5829,264,24,,56,278102,745,,,,,36,102132,92166,448,0,,,,,,94513,,0,380234,1193,,,,,380234,1193,787589,3981
"2021-01-07","TN","A+",7492,6405,111,1087,15068,15068,3533,133,,819,5206582,32730,,,5121761,,474,634237,549527,9000,0,,91543,,,634348,555634,,0,5840819,41730,,691687,,,,0,5756109,39767
"2021-01-07","TX","A",28938,,393,,,,13784,0,,3502,12779422,55651,,,,,,1891741,1666487,24578,0,98318,114160,,,1851122,1522105,,0,14445909,75756,826923,1293168,,,,0,14445909,75756
"2021-01-07","UT","A+",1359,,29,,11578,11578,594,115,1880,187,1333099,6890,,,2046589,654,,297317,263988,4597,0,,37038,,35532,285798,242361,,0,2332387,20004,,480288,,193102,1597087,10505,2332387,20004
"2021-01-07","VA","A+",5275,4646,49,629,18790,18790,3000,154,,568,4146645,31783,,,,,366,382679,317123,5379,0,18068,66883,,,392694,32368,4463768,35557,4463768,35557,191056,746104,,,,0,,0
"2021-01-07","VI","D",24,24,0,,,,,0,,,34936,66,,,,,,2106,,23,0,,,,,,1955,,0,37042,89,,,,,37115,83,,0
"2021-01-07","VT","B",155,,3,,,,39,0,,8,263391,1651,,,,,,8403,8177,245,0,,,,,,5657,,0,731627,8882,,,,,271568,1878,731627,8882
"2021-01-07","WA","A",3605,,64,,15415,15415,1159,88,,266,3719283,18231,,,,,109,260752,250306,1985,0,,,,,,,3969589,19957,3969589,19957,,,,,,0,,0
"2021-01-07","WI","A+",5477,5079,42,398,22070,22070,1128,99,2080,243,2383410,6357,,,,,,540508,498538,4509,0,,,,,,464443,5517819,39652,5517819,39652,,,,,2881948,10148,,0
"2021-01-07","WV","B",1518,1322,37,196,,,789,0,,219,1510515,16334,,,,,96,96002,77233,1324,0,,,,,,66881,,0,1606517,17658,26618,,,,,0,1587748,17500
"2021-01-07","WY","B",489,,25,,1184,1184,112,8,,,161267,200,,,482574,,,46168,39476,278,0,,,,,40097,43949,,0,522688,4849,,,,,200743,461,522688,4849
"2021-01-06","AK","A",220,,2,,1074,1074,101,18,,,1263681,7828,,,1253043,,6,47334,,328,0,,,,,56554,7165,,0,1311015,8156,,,,,,0,1311015,8156
"2021-01-06","AL","A",4994,4346,108,648,36059,36059,2967,629,2448,,1612941,7150,,,,1404,,384184,308269,4591,0,,,,,,211684,,0,1921210,10329,,,89641,,1921210,10329,,0
"2021-01-06","AR","A+",3901,3252,65,649,11867,11867,1321,124,,427,1919438,11045,,,1919438,1271,217,242593,198254,3705,0,,,,52442,,213574,,0,2117692,13369,,,,268259,,0,2117692,13369
"2021-01-06","AS","D",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-01-06","AZ","A+",9444,8493,127,951,41063,41063,4877,760,,1084,2428898,13885,,,,,747,574680,545136,7206,0,,,,,,81214,,0,5374504,50474,394030,,,,2974034,20302,5374504,50474
"2021-01-06","CA","B",27462,,459,,,,22820,0,,4731,32066395,187945,,,,,,2482226,2482226,29892,0,,,,,,,,0,34548621,217837,,,,,,0,34548621,217837
"2021-01-06","CO","A",5050,4333,59,658,19703,19703,988,885,,,1850889,0,258225,,,,,349450,332332,2557,0,33330,,,,,18534,4597755,35699,4597755,35699,291555,,,,2195311,12090,,0
"2021-01-06","CT","B",6230,5048,38,1182,12257,12257,1139,0,,,4329323,26776,,,,,,199454,187749,2486,0,,,,,,9800,,0,4528777,29262,,132291,,,,0,4517072,29080
"2021-01-06","DC","A+",806,,5,,,,265,0,,69,901620,5069,,,,,34,30482,,316,0,,,,,,21461,932102,5385,932102,5385,,,,,364755,1375,,0
"2021-01-06","DE","A+",947,844,0,103,,,458,0,,65,462197,1547,,,,,,61729,59134,629,0,,,,,63121,18851,1020329,6606,1020329,6606,,,,,523926,2176,,0
"2021-01-06","FL","A",22647,,132,,65232,65232,7303,449,,,7592363,38374,578113,560932,12733963,,,1385040,1174410,17262,0,71851,,69600,,1800408,,16310438,114362,16310438,114362,650372,,630838,,8977403,55636,14598971,110152
"2021-01-06","GA","A+",11165,10035,93,1130,43629,43629,5782,611,7605,,4920425,7753,,,,,,602796,602796,5588,0,47855,,,111044,574307,,,0,5523221,13341,409076,,,,,0,5523221,13341
"2021-01-06","GU","B",123,,0,,,,11,0,,3,90453,307,,,,,1,7378,7192,21,0,17,243,,,,7145,,0,97831,328,329,6111,,,,0,97645,326
"2021-01-06","HI","B",299,,10,,1843,1843,123,26,,21,,0,,,,,16,22792,22310,142,0,,,,,22083,11958,836346,3870,836346,3870,,,,,,0,,0
"2021-01-06","IA","A+",4060,,61,,,,604,0,,116,939639,2224,,78709,1986902,,54,245839,245839,2010,0,,46889,9518,44077,266187,249919,,0,1185478,4234,,904912,88267,189129,1187729,4238,2264494,13413
"2021-01-06","ID","A",1471,1298,12,173,5824,5824,254,79,1040,54,432565,735,,,,,,144843,119461,1538,0,,,,,,62215,,0,552026,1718,,52274,,,552026,1718,871888,4426
"2021-01-06","IL","A",18735,17096,173,1639,,,3928,0,,812,12699140,73405,,,,,451,999288,,7569,0,,,,,,,,0,13698428,80974,,,,,,0,13698428,80974
"2021-01-06","IN","A+",8743,8371,80,372,36314,36314,2782,193,6355,586,2155356,6700,,,,,303,539229,,6146,0,,,,,612814,357442,,0,5894505,49161,,,,,2694585,12846,5894505,49161
"2021-01-06","KS","A+",3027,,130,,7113,7113,838,158,1928,206,800701,7889,,,,413,70,236818,,5501,0,,,,,,4745,,0,1037519,13390,,,,,1037519,13390,,0
"2021-01-06","KY","A+",2806,2609,34,197,14039,14039,1778,189,3127,428,3017564,8674,,,,,244,286541,229808,5705,0,7145,19696,,,191733,37821,,0,3247372,12871,102804,189753,,,,0,3247372,12871
"2021-01-06","LA","A",7681,7273,46,408,,,1993,0,,,4001468,20361,,,,,207,333524,299967,6876,0,,,,,,280373,,0,4334992,27237,,235661,,,,0,4301435,24503
"2021-01-06","MA","A+",12836,12563,102,273,16098,16098,2416,0,,442,3725378,15039,,,,,281,404053,386052,6851,0,,,12915,,467138,261672,,0,11308785,102573,,,140254,383427,4111430,21458,11308785,102573
"2021-01-06","MD","A",6132,5960,50,172,27711,27711,1862,169,,444,2586246,10904,,154692,,,,292904,292904,3146,0,,,19059,,356165,9391,,0,5932780,38281,,,173751,,2879150,14050,5932780,38281
"2021-01-06","ME","A+",372,366,3,6,1124,1124,191,7,,50,1123966,7427,13135,,1118473,,21,27090,22794,525,0,562,4636,,,27588,11607,,0,1151056,7952,13709,98986,,,,0,1146760,7773
"2021-01-06","MI","A+",13667,12918,59,749,,,2657,0,,523,7813432,40588,,,7813432,,304,551498,508736,4856,0,,,,,642832,363611,,0,8364930,45444,443670,,,,,0,8456264,45351
"2021-01-06","MN","A",5528,5340,67,188,22437,22437,817,100,4722,140,2620027,5767,,,,,,427587,411956,2326,0,,,,,,406910,5519178,19875,5519178,19875,,243129,,,3031983,7687,,0
"2021-01-06","MO","A+",5858,,33,,,,2738,0,,624,1670033,2759,101554,91475,3265005,,344,408443,408443,2854,0,13931,48588,10549,,452047,,,0,3724603,13275,115701,400398,107373,181514,2078476,5613,3724603,13275
"2021-01-06","MP","D",2,2,0,,4,4,,0,,,17429,0,,,,,,124,124,2,0,,,,,,29,,0,17553,2,,,,,17542,0,26131,0
"2021-01-06","MS","A+",5013,3920,38,1093,8260,8260,1495,0,,358,1183578,0,,,,,222,228235,152906,2791,0,95,,,,,182103,,0,1411813,2791,64321,486742,,,,0,1335473,0
"2021-01-06","MT","A",1015,,10,,3738,3738,219,52,,41,733082,3378,,,,,21,84060,84060,682,0,,,,,,78114,,0,817142,4060,,,,,,0,817142,4060
"2021-01-06","NC","A+",7076,6615,80,461,,,3893,0,,823,6660870,36095,,,,,,582348,530830,6952,0,,,,,,487090,,0,7243218,43047,,288492,,,,0,7191700,41112
"2021-01-06","ND","B",1341,,5,,3610,3610,85,13,530,13,287034,846,11953,,,,,93832,90478,338,0,1442,,,,,90511,1262673,4309,1262673,4309,13395,48034,,,380866,1184,1333897,4816
"2021-01-06","NE","A",1692,,10,,5358,5358,515,37,,,686341,1626,,,1597330,,,171033,171033,1448,0,,,,,196373,114249,,0,1795682,13885,,,,,857789,3073,1795682,13885
"2021-01-06","NH","B",816,,24,,919,919,301,1,304,,492794,2330,,,,,,48838,35856,846,0,,,,,,41237,,0,1068111,6778,36097,46334,34944,,528650,2824,1068111,6778
"2021-01-06","NJ","A",19523,17464,141,2059,49324,49324,3744,266,,668,7556256,40002,,,,,456,557267,504647,5848,0,,,,,,57888,,0,8113523,45850,,,,,,0,8060903,45013
"2021-01-06","NM","A",2641,,47,,10278,10278,712,115,,,1882594,7634,,,,,,149984,,1485,0,,,,,,72089,,0,2032578,9119,,,,,,0,2032578,9119
"2021-01-06","NV","A+",3295,,60,,,,1919,0,,411,976541,3679,,,,,280,237393,237393,1938,0,,,,,,,2162129,11391,2162129,11391,,,,,1213934,5617,,0
"2021-01-06","NY","B",30965,,163,,89995,89995,8665,0,,1408,25276006,181168,,,,,851,1057676,,16648,0,,,,,,105379,26333682,197816,26333682,197816,,,,,,0,,0
"2021-01-06","OH","A+",9368,8443,121,925,40104,40104,4319,454,6065,1021,7246428,20326,,,,,649,742817,662217,7814,0,,49738,,,687682,605474,,0,7908645,25962,,910844,,,,0,7908645,25962
"2021-01-06","OK","A+",2633,,62,,17886,17886,1994,332,,494,2447350,17585,,,2447350,,,311573,,3305,0,8943,,,,306460,274657,,0,2758923,20890,107663,,,,,0,2759122,24539
"2021-01-06","OR","A+",1550,,44,,6635,6635,540,0,,110,2604321,0,,,2560960,,55,119488,74629,1035,0,,,,,161817,5870,,0,2722777,0,,,,,,0,2722777,0
"2021-01-06","PA","A+",16914,,368,,,,5613,0,,1120,3326956,11822,,,,,673,683389,609905,9474,0,,,,,,485206,,0,4010345,21296,,,,,3936861,18852,7709542,53333
"2021-01-06","PR","B",1570,1303,8,267,,,417,0,,65,305972,0,,,303412,,73,79612,74756,293,0,57402,,,,7002,70374,,0,385584,293,,,,,,0,310546,0
"2021-01-06","RI","A+",1890,,20,,6905,6905,405,68,,59,562634,2945,,,1965528,,40,95463,,1611,0,,,,,114397,5743,2079925,20481,2079925,20481,,,,,658097,4556,,0
"2021-01-06","SC","A+",5582,5139,84,443,15015,15015,2424,164,,469,2993641,23233,90487,,2905531,,247,333235,306204,5162,0,17169,53786,,,394314,158273,,0,3326876,28395,107656,447762,,,,0,3299845,27434
"2021-01-06","SD","A+",1519,,6,,5805,5805,264,41,,56,277357,1071,,,,,33,101684,91875,608,0,,,,,,93778,,0,379041,1679,,,,,379041,1679,783608,4602
"2021-01-06","TN","A+",7381,6326,114,1055,14935,14935,3554,100,,831,5173852,24513,,,5089894,,478,625237,542490,7588,0,,89286,,,626448,548838,,0,5799089,32101,,680506,,,,0,5716342,29875
"2021-01-06","TX","A",28545,,326,,,,13628,0,,3477,12723771,60462,,,,,,1867163,1646382,24010,0,93511,112156,,,1835626,1504643,,0,14370153,80276,801027,1267667,,,,0,14370153,80276
"2021-01-06","UT","A+",1330,,18,,11463,11463,589,107,1866,192,1326209,5654,,,2030447,651,,292720,260373,3769,0,,36049,,34606,281936,239203,,0,2312383,16987,,465950,,188053,1586582,8714,2312383,16987
"2021-01-06","VA","A+",5226,4604,35,622,18636,18636,2925,110,,537,4114862,19880,,,,,357,377300,313349,5387,0,17863,65180,,,386635,32101,4428211,23570,4428211,23570,190313,734696,,,,0,,0
"2021-01-06","VI","D",24,24,0,,,,,0,,,34870,228,,,,,,2083,,28,0,,,,,,1955,,0,36953,256,,,,,37032,248,,0
"2021-01-06","VT","B",152,,3,,,,40,0,,6,261740,573,,,,,,8158,7950,120,0,,,,,,5546,,0,722745,2987,,,,,269690,680,722745,2987
"2021-01-06","WA","A",3541,,59,,15327,15327,1167,167,,262,3701052,11668,,,,,121,258767,248580,2332,0,,,,,,,3949632,13872,3949632,13872,,,,,,0,,0
"2021-01-06","WI","A+",5435,5039,69,396,21971,21971,1104,175,2074,245,2377053,6568,,,,,,535999,494747,4109,0,,,,,,461729,5478167,32470,5478167,32470,,,,,2871800,9974,,0
"2021-01-06","WV","B",1481,1298,39,183,,,818,0,,217,1494181,10435,,,,,90,94678,76067,1516,0,,,,,,65571,,0,1588859,11951,26413,,,,,0,1570248,11388
"2021-01-06","WY","B",464,,0,,1176,1176,112,8,,,161067,240,,,477981,,,45890,39215,321,0,,,,,39842,43642,,0,517839,2312,,,,,200282,501,517839,2312
"2021-01-05","AK","A",218,,0,,1056,1056,93,23,,,1255853,5167,,,1245250,,6,47006,,194,0,,,,,56193,7165,,0,1302859,5361,,,,,,0,1302859,5361
"2021-01-05","AL","A",4886,4266,8,620,35430,35430,3080,0,2445,,1605791,3889,,,,1400,,379593,305090,5498,0,,,,,,202137,,0,1910881,7493,,,89088,,1910881,7493,,0
"2021-01-05","AR","A+",3836,3205,36,631,11743,11743,1323,229,,426,1908393,6427,,,1908393,1256,224,238888,195930,4107,0,,,,50949,,210617,,0,2104323,8702,,,,261928,,0,2104323,8702
"2021-01-05","AS","D",0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
"2021-01-05","AZ","A+",9317,8398,253,919,40303,40303,4789,406,,1096,2415013,10699,,,,,761,567474,538719,5932,0,,,,,,80302,,0,5324030,35372,393396,,,,2953732,16143,5324030,35372
"2021-01-05","CA","B",27003,,368,,,,22485,0,,4734,31878450,172331,,,,,,2452334,2452334,31440,0,,,,,,,,0,34330784,203771,,,,,,0,34330784,203771
"2021-01-05","CO","A",4991,4333,47,658,18818,18818,988,71,,,1850889,13956,255008,,,,,346893,332332,3458,0,32506,,,,,18534,4562056,32282,4562056,32282,289064,,,,2183221,17209,,0
"2021-01-05","CT","B",6192,5017,24,1175,12257,12257,1149,0,,,4302547,28323,,,,,,196968,185445,2332,0,,,,,,9800,,0,4499515,30655,,132291,,,,0,4487992,30458
"2021-01-05","DC","A+",801,,4,,,,260,0,,72,896551,5336,,,,,32,30166,,262,0,,,,,,21337,926717,5598,926717,5598,,,,,363380,1323,,0
"2021-01-05","DE","A+",947,844,10,103,,,431,0,,56,460650,1563,,,,,,61100,58560,767,0,,,,,62434,18851,1013723,9544,1013723,9544,,,,,521750,2330,,0
"2021-01-05","FL","A",22515,,100,,64783,64783,7345,386,,,7553989,33771,578113,560932,12645924,,,1367778,1163846,15556,0,71851,,69600,,1778813,,16196076,100188,16196076,100188,650372,,630838,,8921767,49327,14488819,91766
"2021-01-05","GA","A+",11072,9966,101,1106,43018,43018,5642,423,7535,,4912672,20988,,,,,,597208,597208,6102,0,47497,,,108946,571561,,,0,5509880,27090,408030,,,,,0,5509880,27090
